policy_id,customer_id,customer_name,cnic,city,phone,policy_type,insurance_company,coverage_amount,premium,start_date,end_date,status
POL-B62EA0A9,CUST-4CECDD7A,Ghulam Yar,47973-8058074-7,Kala Bagh,+923455142232,Travel,Adamjee Insurance,596729,2728,2023-11-06,2025-09-16,Expired
POL-54D8BD49,CUST-F1331715,Jaan Omar,76226-2529836-6,Pind Dadan Khan,+923067846085,Directors & Officers Liability,Adamjee Insurance,744112,4600,2025-01-17,2025-12-28,Pending
POL-1B966B6A,CUST-99157414,Karaamat Saabir,55654-1309720-8,Nankana Sahib,+923224274141,Boat Insurance,EFU Life,107952,8243,2024-08-10,2026-06-24,Pending
POL-73A7FC58,CUST-2AB79AC3,Raheem Mahbub,68800-1089762-8,Kohat,+923156567298,Auto,EFU Life,487069,2615,2025-04-30,2026-10-16,Pending
POL-E4B64CA7,CUST-8721573F,Sad Bizhan,46399-2623209-5,Killa Saifullah,+923274769528,Life,Jubilee Insurance,865444,8277,2024-01-03,2026-01-11,Active
POL-D632BC70,CUST-C5954CF7,Ghalib Liyaqat,42411-1592105-2,Rohri,+923319554338,Pet Insurance,Jubilee Insurance,888545,4498,2025-03-24,2027-01-01,Expired
POL-1B83FFD8,CUST-DEAE0E1F,Taalib Gohar,29888-1838122-3,Faisalabad,+923267585446,Long Term Care,EFU Life,706538,5029,2024-11-29,2027-01-28,Active
POL-08563BA0,CUST-FFE9C6AF,Latif Ubayd,93799-9300562-8,Dera Ismail Khan,+923237819560,Hospital Cash,Jubilee Insurance,607357,1385,2024-09-30,2025-10-31,Expired
POL-A131FBA0,CUST-2AEA32F0,Ubaadah Nail,42239-2453161-4,Nawabshah,+923288234408,Life,Asim Financial Assurance,636268,9300,2024-12-17,2026-11-14,Pending
POL-6C74DC6A,CUST-7C6D7C47,Baaqir Zarar,73167-9773021-9,Kohistan,+923197081390,Income Protection,U Microfinance Bank,679176,9653,2024-03-02,2027-04-07,Active
POL-7E2C8847,CUST-5D2E8CA7,Aatif Qais,38349-1525048-8,Samundri,+923165388305,Tenant Insurance,Adamjee Insurance,444260,1441,2023-06-11,2027-02-10,Pending
POL-E5743427,CUST-EDF7BF69,Hazeem Aarif,68329-5275392-1,Chiniot,+923103380236,Vision Insurance,Adamjee Insurance,671231,5734,2024-05-10,2025-10-05,Pending
POL-92AC95BC,CUST-FA189AC2,Ubayd Mahfuz,50899-9155505-8,Kohlu,+923100146476,Renters,Asim Financial Assurance,790292,5815,2024-02-14,2027-03-11,Pending
POL-76615D43,CUST-8EA870E7,Yazan Ehsaas,59743-9989747-3,Hala,+923458751828,Equipment Breakdown,Adamjee Insurance,780075,5360,2024-10-06,2025-06-18,Active
POL-AEC16957,CUST-356FE7DE,Qudamah Kamal,10856-1088007-2,Kamalpur,+923275883803,Product Liability,EFU Life,849435,3312,2023-12-19,2025-07-02,Pending
POL-EBC2286A,CUST-C4A1D985,Saabir Awadil,48217-2583185-7,Ormara,+923353943249,Long Term Care,AhsanTechCoding,638355,5798,2025-02-28,2025-10-29,Expired
POL-0EB120CB,CUST-7E6AF039,Zahur Bilaal,36480-6939794-6,Mardan,+923131779752,Health,U Microfinance Bank,227899,5303,2025-03-31,2026-10-20,Active
POL-D57E598D,CUST-2C1F8B6D,Aadam Awadil,98245-9161004-1,Sialkot,+923164994346,Title Insurance,AhsanTechCoding,356540,5456,2024-08-19,2026-06-27,Expired
POL-48CF7FC5,CUST-AF763225,Attaf Ejlaal,64717-6058239-2,Jhelum,+923293945770,Directors & Officers Liability,AhsanTechCoding,617804,7717,2025-01-29,2026-12-12,Pending
POL-F7F0595C,CUST-8509CAB1,Dawud Zackariya,17689-1617577-4,Daska,+923405749927,Professional Indemnity,EFU Life,737508,2434,2025-04-02,2025-10-18,Expired
POL-6FA8F9BE,CUST-AA825E4C,Laqeet Qutaybah,56870-8926388-3,Dera Bugti,+923086251093,Critical Illness,TPL Insurance,585708,7927,2023-09-01,2026-06-30,Pending
POL-659D23E5,CUST-8851A2C3,Ilan Aaaqil,17577-7989066-9,Mianwali,+923352117577,Trade Credit Insurance,TPL Insurance,171490,3960,2023-06-01,2026-02-27,Pending
POL-08DAF99F,CUST-12FE9641,Kaazim Qadeer,22902-2034470-9,Lakki Marwat,+923483487516,Health,Jubilee Insurance,219360,8113,2024-01-05,2025-10-29,Expired
POL-AB0C1AA0,CUST-F11F19B1,Qays Tahawwur,33977-5883410-6,Chaman,+923262609351,Tenant Insurance,TPL Insurance,823449,2022,2024-05-18,2026-11-02,Expired
POL-91EF5245,CUST-16DA9686,Nadir Tajammul,45519-1633699-4,Shahdadkot,+923014973545,Travel,Asim Financial Assurance,391887,2323,2024-04-24,2026-10-20,Expired
POL-D781B964,CUST-A5EB0CDB,Jameel Liyaqat,11626-2545225-3,Kot Radha Kishan,+923474896836,Workers Compensation,Jubilee Insurance,872763,5605,2024-07-22,2027-03-01,Active
POL-A4D2D7F0,CUST-FBCB52C4,Aasim Awani,91668-2656591-4,Gawadar,+923178374713,Income Protection,Jubilee Insurance,693079,2844,2024-08-14,2026-10-25,Pending
POL-3E5B6DB3,CUST-7F327105,Chashida Talib,26891-4622075-4,Tharparkar,+923308375864,Trade Credit Insurance,Asim Financial Assurance,957018,6535,2023-11-04,2026-07-17,Active
POL-3D39E38A,CUST-E718B3AA,Qutb Raashid,76436-7346752-9,Hangu,+923046532099,Home,AhsanTechCoding,493626,7976,2023-10-23,2026-10-16,Active
POL-8388C967,CUST-3731A36A,Ihsaan Ubadah,71364-1085744-2,Hala,+923042466100,Aviation Insurance,U Microfinance Bank,824753,9030,2024-10-12,2027-01-13,Pending
POL-9E6AEF98,CUST-8A136F90,Qutaybah Baasit,28364-4609286-8,Rahim Yar Khan,+923359354452,Mortgage Insurance,U Microfinance Bank,866033,9838,2024-05-23,2025-11-15,Pending
POL-4973F6E8,CUST-3699290E,Lajlaj Batool,67440-8720732-9,Dargai,+923233857192,Mortgage Insurance,AhsanTechCoding,143744,1555,2023-11-15,2026-03-02,Active
POL-5A77CE0D,CUST-63E7C321,Aasif Omar,16620-8175671-2,Chaman,+923047847546,Health,Asim Financial Assurance,929852,8749,2025-05-10,2025-08-25,Active
POL-336671D6,CUST-7B1E8983,Madiyan Kabeer,78161-7814114-3,Sukkur,+923095922191,Marine Cargo,AhsanTechCoding,343325,9421,2024-04-06,2025-10-04,Expired
POL-14145E27,CUST-B1282513,Saalih Waahid,91058-2191067-5,Sibi,+923127018281,Key Person Insurance,Adamjee Insurance,950475,2346,2024-07-18,2026-09-22,Pending
POL-31A6A323,CUST-6427AED3,Tajudinn Yar,33754-7586530-9,Mardan,+923088757899,Burglary,Jubilee Insurance,440717,5183,2024-10-17,2025-08-09,Active
POL-CC1C18E8,CUST-27ADA8F3,Yesoob Lut,26264-3264069-8,Gwadar,+923478602344,Product Liability,AhsanTechCoding,833312,7407,2024-03-09,2026-11-12,Expired
POL-9063EFA8,CUST-811D6E65,Ubay Tahmaseb,99953-2940918-6,Khuzdar,+923285386170,Vision Insurance,U Microfinance Bank,589251,7106,2023-12-30,2026-10-17,Expired
POL-B53D10E1,CUST-FD7D5A1E,Ihtishaam Dabir,50366-6461250-9,Khushab,+923115031251,Kidnap & Ransom,Adamjee Insurance,845400,2998,2024-04-05,2026-01-19,Expired
POL-A447939C,CUST-59228E8F,Naadir Aabid,62446-3342542-8,Nawabshah,+923201128075,Spoilage Insurance,Jubilee Insurance,377488,8175,2023-11-26,2026-06-16,Active
POL-98C7D4E2,CUST-A46D79EA,Ghazanfar Aabid,88037-1760897-5,Dargai,+923149363169,Professional Indemnity,TPL Insurance,780554,9572,2023-10-06,2026-08-12,Pending
POL-38032893,CUST-99BAF376,Aasim Wadi,56217-6299326-8,Chak Jhumra,+923425003333,Motorcycle,Jubilee Insurance,362270,4730,2023-10-26,2026-09-07,Pending
POL-9D11B9BC,CUST-0A91BF93,Talal Liyaaqat,37792-5894766-1,Larkana,+923455943836,Long Term Care,Adamjee Insurance,358240,7896,2023-08-08,2025-12-20,Expired
POL-B293AD8B,CUST-74F5B4F7,Badr Udeen Jabir,31160-9585824-4,Tharparkar,+923073568915,Gap Insurance,AhsanTechCoding,783042,1666,2024-02-03,2026-10-29,Pending
POL-9E5118D7,CUST-E3625B20,Iesa Bizhan,23935-8820364-9,Shikarpur,+923294344268,Income Protection,Asim Financial Assurance,790667,7156,2025-03-08,2026-01-18,Expired
POL-147907FF,CUST-C60E191B,Ulfat Huzaifa,22727-6783066-3,Killa Abdullah,+923330507477,Mobile Phone Insurance,U Microfinance Bank,581550,3411,2024-08-08,2027-04-10,Pending
POL-BCD6AA6A,CUST-3268CD42,Naim Bambad,83828-5954470-8,Jhang,+923104583411,Dental Insurance,EFU Life,443649,8259,2025-02-12,2026-08-31,Pending
POL-B912D3C2,CUST-1CE409DE,Mahmud Abaan,34377-4420919-6,Sibi,+923397357003,Legal Expense Insurance,EFU Life,303583,7227,2023-07-11,2027-03-09,Active
POL-19ED2F7E,CUST-8E65CD6B,Baashir Tahmaseb,26862-3547039-2,Dera Bugti,+923429664627,Renters,EFU Life,501268,1401,2024-09-12,2026-06-19,Pending
POL-4DD9913B,CUST-3822846D,Madani Saalim,92938-5570318-3,Muzaffargarh,+923313285340,Health,Jubilee Insurance,985078,9643,2023-09-19,2026-03-27,Expired
POL-2F003368,CUST-46F9A203,Lutfi Raid,25525-1554142-4,Thatta,+923225492006,Vision Insurance,U Microfinance Bank,646733,2683,2024-06-27,2025-06-28,Pending
POL-F8DA4040,CUST-3500462A,Yazan Luqmaan,33346-5505796-1,Killa Abdullah,+923231880436,Dental Insurance,U Microfinance Bank,152713,7360,2024-11-02,2026-10-31,Pending
POL-B6285F82,CUST-087C406F,Baasim Ghutayf,11260-3011412-4,Quetta,+923484496225,Key Person Insurance,TPL Insurance,401205,2551,2023-11-24,2027-03-11,Active
POL-41C4E164,CUST-45884907,Labeeb Tahmaseb,89890-5061408-5,Bannu,+923448224543,Burglary,EFU Life,916970,6303,2025-03-02,2025-08-31,Expired
POL-D73A316B,CUST-80525F76,Daniel Naail,62346-1638310-8,Matiari,+923259493909,Critical Illness,Asim Financial Assurance,654240,4203,2023-12-22,2026-11-20,Pending
POL-812898BE,CUST-1FBB2319,Kaamil Saaqib,15339-2086885-5,Dera Allah Yar,+923377816058,Mortgage Insurance,AhsanTechCoding,840354,6183,2024-06-01,2025-08-24,Active
POL-65A74052,CUST-147A22EF,Ghanem Baaree,27979-9778944-8,Awaran,+923191711417,Auto,Adamjee Insurance,846732,2788,2023-11-01,2025-10-19,Expired
POL-34E7CB79,CUST-809732AA,Ayamin Qaim,81193-7162769-8,Dadu,+923461797812,Business Liability,Jubilee Insurance,796489,4195,2025-05-17,2026-03-17,Active
POL-4230DDCF,CUST-5A2D1B12,Tirdad Ghazzal,78396-9007769-8,Muzaffargarh,+923349933386,Workers Compensation,AhsanTechCoding,625609,8767,2025-01-14,2026-08-28,Pending
POL-E941711D,CUST-C8A3A30E,Sabil Ubaidah,28235-5857890-4,Shorkot,+923309712987,Vision Insurance,U Microfinance Bank,272805,4232,2024-12-27,2027-04-25,Active
POL-1BF9265B,CUST-855EBAA8,Kabeer Mad,33593-6010980-4,Nowshera Cantt,+923456309096,Group Health Insurance,Jubilee Insurance,527965,5231,2024-12-22,2025-06-09,Pending
POL-41FABA70,CUST-79D590FA,Ihtishaam Ubaid,87603-5091715-5,Tando Muhammad Khan,+923367590594,Commercial Property,EFU Life,210773,5135,2024-09-05,2027-01-29,Active
POL-95877335,CUST-D343F4AF,Jahm Kaamil,37306-6185514-9,Kashmore,+923458583513,Business Liability,Adamjee Insurance,942132,7801,2025-01-05,2026-03-03,Pending
POL-2CCE0563,CUST-E817897C,Qudamah Barr,89163-6364112-2,Gawadar,+923011632112,Terrorism Insurance,U Microfinance Bank,616208,5683,2025-01-29,2025-11-04,Expired
POL-64E38539,CUST-2F9F5407,Yahyaa Ayamin,41243-7542954-8,Nushki,+923426708491,Surety Bonds,AhsanTechCoding,468838,4453,2024-07-25,2026-12-28,Pending
POL-0E112505,CUST-3EEFB1E8,Gulfam Zafar,37170-2066722-2,Chaman,+923280203411,Long Term Care,TPL Insurance,282984,6762,2025-05-21,2027-03-13,Active
POL-D541053D,CUST-DF317639,Tabassum Aamirah,12166-1580082-7,Jhang,+923057359869,Professional Indemnity,U Microfinance Bank,566019,5364,2024-11-29,2026-10-30,Expired
POL-3EFABF13,CUST-4DDBCC15,Zahir Zarar,83583-7088173-7,Okara,+923443043073,Travel,Jubilee Insurance,885450,2279,2024-08-05,2026-08-03,Pending
POL-DBE25032,CUST-4BE8E308,Saal Sabah,61389-7602408-6,Kambar Shahdadkot,+923178763153,Pet Insurance,U Microfinance Bank,100634,4884,2025-04-07,2025-11-28,Expired
POL-AC61F196,CUST-14B87F98,Awj Omeir,43250-1749281-1,Hala,+923230799248,Critical Illness,TPL Insurance,597723,1291,2023-08-20,2026-03-29,Expired
POL-E32F0314,CUST-86E30381,Najam Aalam,65998-3842882-1,Ghotki,+923037358051,Directors & Officers Liability,EFU Life,674485,2458,2024-09-14,2026-12-20,Active
POL-B0681831,CUST-F0B51A7C,Kalbi Kasim,52773-3172822-9,Nowshera,+923119359046,Legal Expense Insurance,TPL Insurance,581711,6932,2023-06-08,2026-08-30,Active
POL-F52ABE2E,CUST-C6898844,Wafiq Aasif,94257-1838977-5,Kala Bagh,+923188904048,Renters,U Microfinance Bank,699126,8239,2023-09-19,2027-03-07,Expired
POL-A816785D,CUST-80BFC3F3,Laiq Batal,38481-7400342-6,Jalalpur Jattan,+923332310078,Aviation Insurance,U Microfinance Bank,892592,7099,2025-04-14,2026-09-24,Expired
POL-2D92AA81,CUST-D09C3E0B,Radi Azban,26596-1663501-1,Moro,+923450965458,Boat Insurance,U Microfinance Bank,488951,2318,2023-09-16,2026-01-15,Expired
POL-69F0FFD0,CUST-4AEC32A0,Raheel Tahmaseb,16407-4967402-9,Toba Tek Singh,+923481683441,Professional Indemnity,Asim Financial Assurance,969925,4060,2024-05-07,2025-10-17,Pending
POL-266F77D5,CUST-3751FB4C,Raid Aalam,84543-9386648-8,Dadu,+923110141964,Cyber Liability,U Microfinance Bank,337580,5325,2024-10-10,2026-04-07,Pending
